venue,city
AMI Stadium,Christchurch
Adelaide Oval,
Affies Park,Windhoek
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat
"Amini Park, Port Moresby",Port Moresby
Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,Visakhapatnam
Antigua Recreation Ground,St John's
"Antigua Recreation Ground, St John's",Antigua
"Antigua Recreation Ground, St John's, Antigua",St John's
Arbab Niaz Stadium,Peshawar
Arnos Vale Ground,Kingstown
"Arnos Vale Ground, Kingstown",St Vincent
"Arnos Vale Ground, Kingstown, St Vincent",Kingstown
Arun Jaitley Stadium,Delhi
"Arun Jaitley Stadium, Delhi",Delhi
Asgiriya Stadium,Kandy
Bangabandhu National Stadium,Dhaka
"Bangabandhu National Stadium, Dhaka",Dhaka
Barabati Stadium,Cuttack
"Barabati Stadium, Cuttack",Cuttack
Barsapara Cricket Stadium,Guwahati
"Barsapara Cricket Stadium, Guwahati",Guwahati
Basin Reserve,Wellington
"Basin Reserve, Wellington",Wellington
Bay Oval,Mount Maunganui
"Bay Oval, Mount Maunganui",Mount Maunganui
"Beausejour Stadium, Gros Islet",St Lucia
Bellerive Oval,Hobart
"Bellerive Oval, Hobart",Hobart
Bert Sutcliffe Oval,Lincoln
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow
"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",Chattogram
"Boland Bank Park, Paarl",Paarl
Boland Park,Paarl
"Boland Park, Paarl",Paarl
Brabourne Stadium,Mumbai
"Bready Cricket Club, Magheramason",Bready
"Brian Lara Stadium, Tarouba, Trinidad",Tarouba
Brisbane Cricket Ground,Brisbane
"Brisbane Cricket Ground, Woolloongabba",Brisbane
"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane
Buffalo Park,East London
"Buffalo Park, East London",East London
Bulawayo Athletic Club,
"Bundaberg Rum Stadium, Cairns",Cairns
Cambusdoon New Ground,Ayr
"Cambusdoon New Ground, Ayr",Ayr
Captain Roop Singh Stadium,Gwalior
"Captain Roop Singh Stadium, Gwalior",Gwalior
Carisbrook,Dunedin
Castle Avenue,Dublin
"Castle Avenue, Dublin",Dublin
"Cazaly's Stadium, Cairns",Cairns
Central Broward Regional Park Stadium Turf Ground,Lauderhill
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill
Chevrolet Park,Bloemfontein
Chittagong Divisional Stadium,
"Choice Moosa Stadium, Pearland",Pearland
"City Oval, Pietermaritzburg",Pietermaritzburg
"Civil Service Cricket Club, Stormont",Belfast
"Civil Service Cricket Club, Stormont, Belfast",Belfast
Clontarf Cricket Club Ground,Dublin
"Clontarf Cricket Club Ground, Dublin",Dublin
Cobham Oval (New),Whangarei
County Ground,Bristol
"County Ground, Bristol",Bristol
"County Ground, Chelmsford",Chelmsford
Daren Sammy National Cricket Stadium,Gros Islet
"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet
"Daren Sammy National Cricket Stadium, St Lucia",Gros Islet
"Darren Sammy National Cricket Stadium, Gros Islet",St Lucia
"Darren Sammy National Cricket Stadium, St Lucia",Gros Islet
"Davies Park, Queenstown",Queenstown
De Beers Diamond Oval,Kimberley
"De Beers Diamond Oval, Kimberley",Kimberley
Diamond Oval,Kimberley
"Diamond Oval, Kimberley",Kimberley
Docklands Stadium,Melbourne
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam
Dubai International Cricket Stadium,
Dubai Sports City Cricket Stadium,
Eden Gardens,Kolkata
"Eden Gardens, Kolkata",Kolkata
Eden Park,Auckland
"Eden Park, Auckland",Auckland
Edgbaston,Birmingham
"Edgbaston, Birmingham",Birmingham
Feroz Shah Kotla,Delhi
"Forthill, Dundee",Dundee
Gaddafi Stadium,Lahore
"Gaddafi Stadium, Lahore",Lahore
Galle International Stadium,
Goodyear Park,Bloemfontein
"Goodyear Park, Bloemfontein",Bloemfontein
"Grand Prairie Stadium, Dallas",Dallas
"Grange Cricket Club Ground, Raeburn Place",Edinburgh
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh
"Grange Cricket Club, Raeburn Place",Edinburgh
"Great Barrier Reef Arena, Mackay",Mackay
Green Park,Kanpur
"Green Park, Kanpur",Kanpur
Greenfield International Stadium,Thiruvananthapuram
"Greenfield International Stadium, Thiruvananthapuram",Thiruvananthapuram
Gymkhana Club Ground,Nairobi
"Gymkhana Club Ground, Nairobi",Nairobi
Hagley Oval,Christchurch
"Hagley Oval, Christchurch",Christchurch
Harare Sports Club,
"Hazelaarweg, Rotterdam",Rotterdam
Headingley,Leeds
"Headingley, Leeds",Leeds
Himachal Pradesh Cricket Association Stadium,Dharamsala
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala
Holkar Cricket Stadium,Indore
"Holkar Cricket Stadium, Indore",Indore
ICC Academy,Dubai
"ICC Academy, Dubai",Dubai
ICC Global Cricket Academy,Dubai
Indian Petrochemicals Corporation Limited Sports Complex Ground,Vadodara
Iqbal Stadium,Faisalabad
"Iqbal Stadium, Faisalabad",Faisalabad
JSCA International Stadium Complex,Ranchi
"JSCA International Stadium Complex, Ranchi",Ranchi
Jade Stadium,Christchurch
"Jade Stadium, Christchurch",Christchurch
Jaffery Sports Club Ground,Nairobi
John Davies Oval,Queenstown
Keenan Stadium,Jamshedpur
Kennington Oval,London
"Kennington Oval, London",London
Kensington Oval,Bridgetown
"Kensington Oval, Barbados",Bridgetown
"Kensington Oval, Bridgetown",Barbados
"Kensington Oval, Bridgetown, Barbados",Bridgetown
Khan Shaheb Osman Ali Stadium,Fatullah
Kingsmead,Durban
"Kingsmead, Durban",Durban
Kinrara Academy Oval,Kuala Lumpur
"Kotambi Stadium, Vadodara",Vadodara
"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",Hyderabad
Lord's,London
"Lord's, London",London
M Chinnaswamy Stadium,Bengaluru
"M Chinnaswamy Stadium, Bangalore",Bengaluru
"M Chinnaswamy Stadium, Bengaluru",Bengaluru
M.Chinnaswamy Stadium,Bengaluru
MA Aziz Stadium,Chattogram
"MA Aziz Stadium, Chittagong",Chattogram
MA Chidambaram Stadium,Chennai
"MA Chidambaram Stadium, Chepauk",Chennai
"MA Chidambaram Stadium, Chepauk, Chennai",Chennai
Madhavrao Scindia Cricket Ground,Rajkot
Maharani Usharaje Trust Cricket Ground,Indore
Maharashtra Cricket Association Stadium,Pune
"Maharashtra Cricket Association Stadium, Pune",Pune
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota
Malahide,Dublin
Mangaung Oval,Bloemfontein
"Mangaung Oval, Bloemfontein",Bloemfontein
Mannofield Park,Aberdeen
"Mannofield Park, Aberdeen",Aberdeen
Manuka Oval,Canberra
"Manuka Oval, Canberra",Canberra
Maple Leaf North-West Ground,King City
"Maple Leaf North-West Ground, King City",King City
Marrara Cricket Ground,Darwin
"Marrara Cricket Ground, Darwin",Darwin
McLean Park,Napier
"McLean Park, Napier",Napier
Melbourne Cricket Ground,
"Mission Road Ground, Mong Kok",Hong Kong
Mombasa Sports Club Ground,
"Moosa Cricket Stadium, Pearland",Pearland
Mulpani Cricket Ground,Kathmandu
Multan Cricket Stadium,Multan
Nahar Singh Stadium,Faridabad
"Nahar Singh Stadium, Faridabad",Faridabad
"Namibia Cricket Ground, Windhoek",Windhoek
Narayanganj Osmani Stadium,Fatullah
Narendra Modi Stadium,Ahmedabad
"Narendra Modi Stadium, Ahmedabad",Ahmedabad
National Cricket Stadium,St George's
"National Cricket Stadium, Grenada",St George's
"National Cricket Stadium, St George's",Grenada
"National Cricket Stadium, St George's, Grenada",St George's
National Stadium,Karachi
"National Stadium, Karachi",Karachi
Nehru Stadium,Pune
"Nehru Stadium, Fatorda",Margao
"Nehru Stadium, Poona",Pune
New Wanderers Stadium,Johannesburg
"New Wanderers Stadium, Johannesburg",Johannesburg
Newlands,Cape Town
"Newlands, Cape Town",Cape Town
"Niaz Stadium, Hyderabad",Sind
"Niranjan Shah Stadium, Rajkot",Rajkot
"North West Cricket Stadium, Potchefstroom",Potchefstroom
OUTsurance Oval,Bloemfontein
Old Hararians,Harare
Old Trafford,Manchester
"Old Trafford, Manchester",Manchester
P Sara Oval,Colombo
P Saravanamuttu Stadium,Colombo
Pallekele International Cricket Stadium,
Perth Stadium,
Providence Stadium,Guyana
"Providence Stadium, Guyana",Providence
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh
"Punjab Cricket Association Stadium, Mohali",Chandigarh
"Punjab Cricket Association Stadium, Mohali, Chandigarh",Chandigarh
"Queen's Park (New), St George's, Grenada",St George's
Queen's Park Oval,Port of Spain
"Queen's Park Oval, Port of Spain",Trinidad
"Queen's Park Oval, Port of Spain, Trinidad",Port of Spain
"Queen's Park Oval, Trinidad",Port of Spain
Queens Sports Club,Bulawayo
"Queens Sports Club, Bulawayo",Bulawayo
Queenstown Events Centre,
R Premadasa Stadium,Colombo
"R Premadasa Stadium, Colombo",Colombo
R.Premadasa Stadium,Colombo
"R.Premadasa Stadium, Khettarama",Colombo
"Rajiv Gandhi International Stadium, Uppal",Hyderabad
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad
Rangiri Dambulla International Stadium,
Rawalpindi Cricket Stadium,Rawalpindi
Reliance Stadium,Vadodara
Riverside Ground,Chester-le-Street
"Riverside Ground, Chester-le-Street",Chester-le-Street
"Riverway Stadium, Townsville",Townsville
Ruaraka Sports Club Ground,Nairobi
"Sabina Park, Jamaica",Kingston
"Sabina Park, Kingston",Jamaica
"Sabina Park, Kingston, Jamaica",Kingston
"Sardar Patel (Gujarat) Stadium, Motera",Ahmedabad
Sardar Patel Stadium,Ahmedabad
"Sardar Patel Stadium, Motera",Ahmedabad
Saurashtra Cricket Association Stadium,Rajkot
"Saurashtra Cricket Association Stadium, Rajkot",Rajkot
Sawai Mansingh Stadium,Jaipur
Saxton Oval,Nelson
"Saxton Oval, Nelson",Nelson
Sector 16 Stadium,Chandigarh
Seddon Park,Hamilton
"Seddon Park, Hamilton",Hamilton
Sedgars Park,Potchefstroom
"Sedgars Park, Potchefstroom",Potchefstroom
Senwes Park,Potchefstroom
"Senwes Park, Potchefstroom",Potchefstroom
Shaheed Chandu Stadium,Bogra
"Shaheed Veer Narayan Singh International Stadium, Raipur",Raipur
Sharjah Cricket Association Stadium,Sharjah
Sharjah Cricket Stadium,
Sheikh Abu Naser Stadium,Khulna
Sheikh Zayed Stadium,Abu Dhabi
Sheikhupura Stadium,
Sher-e-Bangla National Cricket Stadium,Mirpur
Shere Bangla National Stadium,Mirpur
"Shere Bangla National Stadium, Mirpur",Dhaka
Sinhalese Sports Club,Colombo
Sinhalese Sports Club Ground,Colombo
"Sinhalese Sports Club Ground, Colombo",Colombo
Sir Vivian Richards Stadium,North Sound
"Sir Vivian Richards Stadium, Antigua",North Sound
"Sir Vivian Richards Stadium, North Sound",Antigua
"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound
"Sky Stadium, Wellington",Wellington
Sophia Gardens,Cardiff
"Sophia Gardens, Cardiff",Cardiff
Sportpark Het Schootsveld,Deventer
"Sportpark Maarschalkerweerd, Utrecht",Utrecht
"Sportpark Westvliet, The Hague",The Hague
St George's Park,Port Elizabeth
"St George's Park, Gqeberha",Gqeberha
"St George's Park, Port Elizabeth",Port Elizabeth
St Lawrence Ground,Canterbury
"St Lawrence Ground, Canterbury",Canterbury
SuperSport Park,Centurion
"SuperSport Park, Centurion",Centurion
Sydney Cricket Ground,
Sylhet International Cricket Stadium,
"Takashinga Sports Club, Highfield, Harare",Harare
The Cooper Associates County Ground,Taunton
The Rose Bowl,Southampton
"The Rose Bowl, Southampton",Southampton
"The Royal & Sun Alliance County Ground, Bristol",Bristol
"The Village, Malahide",Dublin
"The Village, Malahide, Dublin",Dublin
The Wanderers Stadium,Johannesburg
"The Wanderers Stadium, Johannesburg",Johannesburg
Titwood,Glasgow
"Titwood, Glasgow",Glasgow
"Tony Ireland Stadium, Townsville",Townsville
"Toronto Cricket, Skating and Curling Club",Toronto
Trent Bridge,Nottingham
"Trent Bridge, Nottingham",Nottingham
Tribhuvan University International Cricket Ground,Kirtipur
"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
"United Cricket Club Ground, Windhoek",Windhoek
University Oval,Dunedin
"University Oval, Dunedin",Dunedin
VRA Cricket Ground,Amstelveen
VRA Ground,Amstelveen
"VRA Ground, Amstelveen",Amstelveen
Vidarbha C.A. Ground,Nagpur
Vidarbha Cricket Association Ground,Nagpur
"Vidarbha Cricket Association Stadium, Jamtha",Nagpur
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Nagpur
W.A.C.A. Ground,Perth
Wanderers Cricket Ground,Windhoek
"Wanderers Cricket Ground, Windhoek",Windhoek
Wankhede Stadium,Mumbai
"Wankhede Stadium, Mumbai",Mumbai
"Warner Park, Basseterre",St Kitts
"Warner Park, Basseterre, St Kitts",Basseterre
Western Australia Cricket Association Ground,Perth
"Western Australia Cricket Association Ground, Perth",Perth
"Westpac Park, Hamilton",Hamilton
Westpac Stadium,Wellington
"Westpac Stadium, Wellington",Wellington
Willowmoore Park,Benoni
"Willowmoore Park, Benoni",Benoni
"Windsor Park, Roseau",Dominica
"Windsor Park, Roseau, Dominica",Roseau
Zahur Ahmed Chowdhury Stadium,Chittagong
"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram
"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi
Zohur Ahmed Chowdhury Stadium,Chittagong
